episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
16640, 180.3, -0.4, -1.0, -1, 1, 0.6239316239316239, 0.076095947063689, 0.17866004962779156, 0.02977667493796526, 0.09153570443893025, 0.0
16660, 144.8, -0.4, -1.0, -1, 1, 0.6405886909372579, 0.07797572940872709, 0.1678285566744126, 0.038987864704363544, 0.07461915827523884, 0.0
16680, 141.1, 0.2, 1.0, -1, 1, 0.6399200456881782, 0.0693889206167904, 0.17018846373500857, 0.038834951456310676, 0.08166761850371217, 0.0
16700, 218.4, -0.2, -1.0, -1, 1, 0.6446737044145874, 0.06261996161228407, 0.1720249520153551, 0.039587332053742805, 0.08109404990403071, 0.0
16720, 251.5, -0.2, -1.0, -1, 1, 0.6214335421016005, 0.07167710508002784, 0.18000463929482718, 0.03966597077244259, 0.08721874275110184, 0.0
16740, 155.6, -0.2, -1.0, -1, 1, 0.6266996291718171, 0.07663782447466007, 0.18139678615574784, 0.03491965389369592, 0.08034610630407911, 0.0
16760, 185.8, -0.4, -1.0, -1, 1, 0.6301478352692714, 0.07286166842661035, 0.176610348468849, 0.04039070749736008, 0.07998944033790918, 0.0
16780, 242.6, -0.2, -1.0, -1, 1, 0.5999232834675873, 0.08036056770233986, 0.2048331415420023, 0.03701572688914461, 0.07786728039892597, 0.0
16800, 183.2, -0.4, -1.0, -1, 1, 0.5864932189316358, 0.07832825906448934, 0.21477996125103793, 0.04040963188486023, 0.07998892886797675, 0.0
16820, 166.7, -0.2, -1.0, -1, 1, 0.6011251758087202, 0.07538677918424753, 0.2129395218002813, 0.034036568213783404, 0.07651195499296765, 0.0
16840, 184.7, -0.6, -1.0, -1, 1, 0.5870570107858244, 0.08012326656394453, 0.20677966101694914, 0.04345146379044684, 0.08258859784283513, 0.0
16860, 137.3, -0.4, -1.0, -1, 1, 0.5951279679309281, 0.08325624421831637, 0.20659882824545175, 0.037927844588344126, 0.0770891150169596, 0.0
16880, 132.0, -0.2, -1.0, -1, 1, 0.553125, 0.0878125, 0.226875, 0.04125, 0.0909375, 0.0
16900, 237.9, 0.0, 0.0, -1, 1, 0.5874384236453202, 0.07536945812807881, 0.2064039408866995, 0.03669950738916256, 0.09408866995073892, 0.0
16920, 223.5, 0.0, 0.0, -1, 1, 0.5965583173996176, 0.08476736775015933, 0.19587847886127044, 0.03760356915232632, 0.0851922668366263, 0.0
16940, 152.4, -0.4, -1.0, -1, 1, 0.571213489912677, 0.09334537789822343, 0.2041553748870822, 0.03643480879253237, 0.0948509485094851, 0.0
16960, 175.3, -0.4, -1.0, -1, 1, 0.569051094890511, 0.09547445255474453, 0.2037956204379562, 0.04291970802919708, 0.08875912408759123, 0.0
16980, 150.8, -0.2, -1.0, -1, 1, 0.5656158357771262, 0.0872434017595308, 0.21444281524926687, 0.030425219941348974, 0.10227272727272728, 0.0
17000, 152.7, -0.8, -1.0, -1, 1, 0.5637285986049461, 0.07989854153455929, 0.2187698161065314, 0.039315155358275206, 0.09828788839568801, 0.0
17020, 223.4, -0.2, -1.0, -1, 1, 0.578223362089065, 0.0799720214502215, 0.20750757752389834, 0.03683842387502914, 0.09745861506178596, 0.0
